original_id,wiki_id,wiki_name,match_score
433,Q313903,B. J. Vorster,0.5
434,Q560515,Bishweshwar Prasad Koirala,0.5
435,Q7345937,Robert J. McCloskey,0.5
436,Q141704,George Meany,0.5
443,Q574685,Daniel Oduber Vargas,0.5
442,Q4200159,Mochtar Kusumaatmadja,1.0
438,Q554131,Mangosuthu Buthelezi,0.5
444,Q219962,Seretse Khama,0.5
445,Q315613,José López Portillo,0.5
446,Q5294839,Donald McHenry,0.5
447,Q219733,Richard Stone,0.5
448,Q155402,Ahmed Sékou Touré,0.5
449,Q2105,Jacques Chirac,0.5
451,Q202770,Alexei Kosygin,0.5
452,Q128574,Joe Clark,0.5
457,Q299559,Nur Muhammad Taraki,0.5
456,Q1606032,Henri Simonet,0.5
455,Q365169,Félix Malloum,0.5
454,Q7356718,Rodger Davies,0.5
458,Q53595,Pranas Brazinskas,0.5
459,Q939880,G. William Miller,0.5
466,Q10886643,Yu Teng-fa,0.5
460,Q301252,Anthony Crosland,0.5
461,Q2157175,Robert Ellsworth,0.5
462,Q6111087,Jack B. Kubisch,0.5
463,Q93330,Juan Perón,0.5
464,Q1064708,Charles H. Wilson,0.5
468,Q4423323,Vladimir Slepak,0.5
476,Q6284674,Joseph Kraft,0.5
478,Q7024935,Nicholas A. Veliotes,0.5
477,Q200701,Henry S. Reuss,0.5
475,Q3176929,Thomas Eagleton,0.5
480,Q433129,Joan Mondale,0.5
482,Q1324581,Wilfred Burchett,0.5
483,Q112128,Husayn ibn Ali,0.5
487,Q972052,Philip Habib,0.5
491,Q16977,Deng Xiaoping,0.5
492,Q773635,Max van der Stoel,0.5
493,Q7493459,Sheldon B. Vance,0.5
488,Q1345201,Henry Martin Jackson,0.5
489,Q37278,John Paul I,0.5
494,Q49084859,Fouad Boutros Twal,0.2
496,Q2607,Erich Honecker,0.5
495,Q765165,Leonid Brezhnev,0.5
497,Q2333569,Antonio Flores,0.5
498,Q28816483,Khalid,0.66666666666667
499,Q5987149,Ida Nudel,0.5
500,Q209828,Siad Barre,0.5
501,Q44620,Franz Josef Strauß,0.5
502,Q1530765,Habib Chatty,0.5
503,Q12672881,Simas Kudirka,0.5
504,Q58661310,,0.5
510,Q152534,Alfredo Stroessner,0.5
509,Q822380,Walter John Stoessel,0.5
507,Q268003,Edvard Kardelj,0.5
508,Q336050,Christopher Soames,0.5
517,Q200436,Rauf Denktaş,0.5
521,Q522435,Charles Vanik,0.5
520,Q160318,Norodom Sihanouk,0.5
519,Q433180,William P. Rogers,0.5
518,Q315565,Kiichi Miyazawa,0.5
515,Q1994957,Alan Cranston,0.5
514,Q313598,Chiang Ching-kuo,1.0
513,Q29230,Martti Ahtisaari,0.5
522,Q4530056,Einar Ágústsson,0.5
523,Q380395,Richard Parkes Bonington,0.5
524,Q36519182,B.B. Semenov,0.5
530,Q1510187,Gerard Smith,0.5
529,Q2300505,Harry W. Shlaudeman,0.5
527,Q1376679,Louis de Guiringaud,0.5
528,Q6230812,John E. L. Peck,0.5
526,Q335038,"Peter Carington, 6th Baron Carrington",0.5
532,Q4065797,Ștefan Andrei,0.5
