id,name,frequency
423,PHOUMY SENEPHIMMACHACK,184
421,"HOROWITZ, DANIEL L",184
420,"AZEREDO DA SILVEIRA, ANTONIO F",184
425,"DERWINSKI, EDWARD J",183
427,"NEWSOM, DAVID",183
428,"SMITH, RACHEL A",183
426,"MUSKIE, EDMUND S",183
429,TRAN VINH KHAI,182
430,"LUERS, WILLIAM H",180
431,"BANDA, H KAMUZU",179
432,"BOUTEFLIKA, ABDELAZIZ",179
433,"VORSTER, BALTHAZAR J",179
434,"KOIRALA, B P",178
435,"MCCLOSKEY, ROBERT J",178
436,"MEANY, GEORGE",178
437,"MOROZ, VALENTYN",178
441,"KIRSCH, RUSSELL SCOTT",177
443,"ODUBER QUIROS, DANIEL",177
442,MOCHTAR KUSUMAATMADJA,177
440,"KIRSCH, MELANIE HOPE",177
438,"BUTHELEZI, GATSHA",177
439,"FLYN, JOHN MARTIN",177
444,"KHAMA, SERETSE",176
445,"LOPEZ PORTILLO Y PACHECO, JOSE",175
446,"MCHENRY, DONALD",175
447,"STONE, RICHARD",175
448,"TOURE, AHMED SEKOU",175
449,"CHIRAC, JACQUES",174
450,"GOLDBERG, OTTYLIE",174
451,"KOSYGIN, ALEKSEY NIKOLAYEVICH",174
452,"CLARK, JOE",173
453,"BASTAN, MARK J",172
457,"TARAKI, NOOR MOHAMMAD",171
456,"SIMONET, HENRI",171
455,"MALLOUM, FELIX",171
454,"DAVIES, RODGER P",171
458,"BRAZINSKAS, PRANAS",170
459,"MILLER, G WILLIAM",170
466,"YU, TENG-FA",169
460,"CROSLAND, ANTHONY",169
461,"ELLSWORTH, ROBERT",169
462,"KUBISCH, JACK B",169
463,"PERON, JUAN",169
464,"WILSON, CHARLES H",169
465,"YU, JUI-YEN",169
467,"MANOLAKIS, ANASTASIOS G",168
468,"SLEPAK, VLADIMIR",168
471,INLAVONGSA PHOMMA,167
472,"LOMUS, JOSE G",167
470,"CHEN, ALAN T",167
469,CHATCHAI CHUNHAWAN,167
476,"KRAFT, JOSEPH",166
478,"VELIOTES, NICHOLAS A",166
477,"REUSS, HENRY S",166
473,"CORBIT, RICHARD C",166
475,"EAGLETON, THOMAS F",166
474,"DOUTY, HARVEY M",166
479,"ELIAS, LIAFIZ",165
480,"MONDALE, JOAN",165
481,PAK TONG-CHIN,165
482,"BURCHETT, WILFRED",164
483,HUSAYN,164
484,"NIEHOUS, WILLIAM F",164
485,XAYBOUALY SIKHOUNMVONG,164
486,"CIRCO, DENNIS",163
487,"HABIB, PHILIP",163
491,TENG HSIAO PING,162
492,"VAN DER STOEL, MAX",162
493,"VANCE, SHELDON B",162
490,"SMITH, KENNETH STEPHEN",162
488,"JACKSON, HENRY M",162
489,"JOHN PAUL I, POPE",162
494,"BOUTROS, FOUAD",161
496,"HONECKER, ERICH",161
495,BREZHNEV,161
497,"FLORES, ANTONIO",160
498,KHALID,160
499,"NUDEL, IDA",160
500,"SIAD BARRE, MOHAMED",160
501,"STRAUSS, FRANZ JOSEF",160
502,"CHATTI, HABIB",159
503,"KUDIRKA, SIMAS",159
504,"LAW, WILLIAM H",159
505,"MORGAN, ERNEST R",159
510,"STROESSNER, ALFREDO",158
512,"VITALE, A STEPHEN",158
511,"TRAMPCZYNSKI, BOHDAN",158
509,"STOESSEL, WALTER J JR",158
507,"KARDELJ, EDVARD",158
506,"CARTWRIGHT, DAVID GEOFFREY",158
508,"SOAMES, CHRISTOPHER",158
517,DENKTASH,157
521,"VANIK, CHARLES A",157
520,SIHANOUK,157
519,"ROGERS, WILLIAM P",157
518,"MIYAZAWA, KIICHI",157
516,"DE LA CRUZ TORRES, MARIO ENRIQUE",157
515,"CRANSTON, ALAN",157
514,CHIANG CHING-KUO,157
513,"AHTISAARI, MARTTI",157
522,"AGUSTSSON, EINAR",156
523,"PARKER, RICHARD B",156
524,SEMENOV,156
525,"ZIMMERMAN, SHERYL R",156
530,"SMITH, GERARD",155
529,"SHLAUDEMAN, HARRY W",155
527,"DE GUIRINGAUD, LOUIS",155
528,"PECK, EDWARD L",155
526,"CARRINGTON, PETER",155
531,"BREGANDE, PAUL",154
532,"ANDREI, STEFAN",153
533,"COLBERT, LE ROY JR",153
534,"GRAHAM, JOHN",153
535,"SACLARIDES, NICHOLAS",153
536,"SOBEL, LAWRENCE",153
537,HASSAN,152
538,LE THI MY HANH,152
539,"WHITLAM, E GOUGH",152
540,"BRIGGS, JACK",151
541,"SHAKA, BASSAM",151
542,"DUBS, ADOLPH W",150
543,"JABAAY, ROBERT A",150
547,"VIDELA, JORGE RAFAEL",149
546,"TOPPINGS, VERNON",149
545,"HABYARIMANA, JUVENAL",149
544,"BROWNE, SHADRACK M",149
548,"BROOKENS, BENOIT O JR",148
549,"BROWN, GEORGE",148
550,CUBAN PAROLEES,148
551,"LEVESQUE, RENE",148
552,"SCOTT, CHERYL L'TANYA",148
556,"MARGOLIS, ALLAN B",147
558,"SENGHOR, LEOPOLD",147
557,"MUBARAK, HUSNI",147
554,"DURANT, LEONARD",147
555,"HECHT, MARTIN DAVID",147
553,"CLARKE, DONALD EDWARD",147
559,"BERGLAND, BOB",146
563,KIM YONG-SAM,145
566,"TRAORE, MOUSSA",145
564,"NYE, JOSEPH",145
565,"RABASA MISHKIN, EMILIO",145
562,"KENNEDY, EDWARD",145
561,"BROWN, IRVING",145
560,"BENTSEN, LLOYD",145
567,CLERIDES,144
568,"DURHAM, ROSEBORO",144
569,"MCHENRY, DONALD F",144
570,"ROEL GARCIA, SANTIAGO",144
571,"TALAMANTE, OLGA",144
576,"RENE, FRANCE ALBERT",143
578,"SPARKMAN, JOHN",143
577,"ROLDOS, JAIME",143
573,"DRAYTON, CHESTER C JR",143
575,INGERSOLL,143
574,"HARROP, WILLIAM C",143
572,"DERIAN, PATRICIA",143
579,"DEVINE, FRANK J",142
583,"GISONDO, LAURA",141
585,NGUYEN THI LAN ANH,141
584,"MOORE, JOHN NORTON",141
582,"ESENBEL, MELIH",141
581,"EARLE, RALPH II",141
